run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230515-19:50:52-51946,runattr,,,configname,General,,
General-0-20230515-19:50:52-51946,runattr,,,datetime,20230515-19:50:52,,
General-0-20230515-19:50:52-51946,runattr,,,datetimef,20230515-195052,,
General-0-20230515-19:50:52-51946,runattr,,,experiment,General,,
General-0-20230515-19:50:52-51946,runattr,,,inifile,/home/gasbon/Documents/Famaf/actual/redes/labs/lab3/omnetpp.ini,,
General-0-20230515-19:50:52-51946,runattr,,,iterationvars,,,
General-0-20230515-19:50:52-51946,runattr,,,iterationvarsd,,,
General-0-20230515-19:50:52-51946,runattr,,,iterationvarsf,,,
General-0-20230515-19:50:52-51946,runattr,,,measurement,,,
General-0-20230515-19:50:52-51946,runattr,,,network,Network,,
General-0-20230515-19:50:52-51946,runattr,,,processid,51946,,
General-0-20230515-19:50:52-51946,runattr,,,repetition,0,,
General-0-20230515-19:50:52-51946,runattr,,,replication,#0,,
General-0-20230515-19:50:52-51946,runattr,,,resultdir,results,,
General-0-20230515-19:50:52-51946,runattr,,,runnumber,0,,
General-0-20230515-19:50:52-51946,runattr,,,seedset,0,,
General-0-20230515-19:50:52-51946,config,,,cmdenv-express-mode,true,,
General-0-20230515-19:50:52-51946,config,,,network,Network,,
General-0-20230515-19:50:52-51946,config,,,sim-time-limit,200s,,
General-0-20230515-19:50:52-51946,config,,,Network.nodeTx.gen.generationInterval,exponential(0.65),,
General-0-20230515-19:50:52-51946,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230515-19:50:52-51946,config,,,Network.queue0.bufferSize,100,,
General-0-20230515-19:50:52-51946,config,,,Network.queue1.bufferSize,200,,
General-0-20230515-19:50:52-51946,config,,,Network.nodeRx.transRx.bufferSize,200,,
General-0-20230515-19:50:52-51946,config,,,Network.nodeTx.transTx.bufferSize,20000000,,
General-0-20230515-19:50:52-51946,config,,,Network.queue0.serviceTime,exponential(0.001),,
General-0-20230515-19:50:52-51946,config,,,Network.queue1.serviceTime,exponential(0.001),,
General-0-20230515-19:50:52-51946,vector,Network.nodeTx.gen,packetGen,,,"0.517318427968 1.101382680483 1.917737673214 3.126480411063 3.726575446519 4.995079914844 5.506760655832 6.728087291064 7.0862688074 7.721322984556 8.396126529988 8.711459836407 9.085547314381 9.31510075482 10.760391629144 10.798341664055 12.953034646008 13.159966137555 13.474307505771 13.896447632134 14.916230108589 16.0031673888 16.492405562453 16.917429231147 17.463060585532 17.787327391392 19.476192547194 20.651632568973 20.699528050025 20.967053747583 21.026308414564 21.705306544964 21.718583177423 22.017094466639 23.178961447874 25.226571901513 26.205331669627 26.303631724509 27.629835992171 28.956415932514 31.455810147456 31.872921109697 32.916326821787 33.965428170467 34.367732319224 34.845459192997 35.831207576091 36.569567888203 36.651386254338 37.480284260783 38.14421497911 38.711223755887 38.811798048212 39.312840576216 41.194213886908 42.118100928969 42.59768866861 42.670453673021 43.018571391169 43.435672947489 43.635405176388 43.769437309708 44.736802946447 45.604741566453 46.000645141522 46.159276660501 46.705494219149 46.799924936889 46.81225450687 47.06690553381 47.691803144203 47.797191862343 48.412739702507 48.576176958356 49.199883143645 49.517445225695 51.388089989525 52.901883682764 53.646224003319 54.034758953251 54.324345975034 54.941517454307 55.314963518689 56.82709170879 57.604561778437 57.672526575191 57.712901513994 59.988040408889 60.702333512797 61.390575698264 62.112464037961 62.234290980873 62.387825339827 62.67603795843 62.765756605908 63.668634354272 63.914959631056 64.523399644907 64.817265984053 65.072789146301 65.621667212094 65.647136263763 66.022397065787 66.676213219145 69.571636169159 71.647051486494 71.717014306795 72.404601475474 72.556897462678 73.212109972201 73.326453776728 76.810519004386 77.498701769197 78.065447074054 78.255299420678 78.603091460782 79.011253488426 79.429711139468 79.611891194979 80.246852843125 80.35938568962 80.62751148907 80.703532505435 81.433591901432 82.127838829579 82.375850127772 82.472513102786 83.451826069413 83.594098457143 85.535771886847 85.834780959378 86.540856056949 87.659071634465 87.667953610445 87.734347783436 88.368164040638 89.551046338173 90.278925675913 90.344598279864 92.667430721888 95.104301170618 96.472760016133 96.88377880379 97.346958139457 99.792210874385 99.82947337656 100.432984399546 100.822949875863 101.696709302762 101.709832886057 101.735817480445 102.114688433209 102.330755089835 104.860275669684 104.943512567136 105.233035217384 105.461299675482 105.887469760318 105.969622373994 106.728090166251 106.976845783011 108.357599961062 108.705274805304 110.332817464309 110.375910775272 110.534767816525 111.301241009117 111.84258929456 112.386052690341 113.688159029971 113.888628676035 114.350939835226 114.832433153017 116.448061685052 116.512184385524 118.163382315697 118.721014482395 118.777415295916 120.499431649556 120.71090291965 120.960217058814 120.966327546746 121.681877388305 122.882640361456 122.97450532527 123.651662750487 124.470619727058 125.667453333525 125.889528542092 126.089415062538 126.220942847607 126.550622927724 127.124656804998 127.647775114869 127.660978213086 127.778142176876 128.925873873944 129.225998956373 129.229058207693 129.331980186743 130.068192379025 130.616196349921 130.820765429477 131.611496054211 132.475188672149 132.696414052002 134.825257117517 135.194394817279 135.380308449409 136.29747431545 136.855429744539 137.183253218821 137.766037284832 139.237464109142 139.789457636659 140.451585811171 140.61565880655 142.059638290558 144.043621367533 144.784366543829 145.169572161673 145.557218767987 146.774967689894 149.272921969002 150.054377037712 150.134669358497 150.364132445125 151.311064508192 152.403663941147 152.748633563948 153.076895749989 153.808329060937 155.192503668381 155.379320477827 155.945168764939 156.189399012503 157.577038804992 159.763879599475 160.530478506344 161.107588423128 161.947329447848 162.647922122537 163.100191772122 163.595405823464 165.626960255942 165.797297463031 166.468615519951 166.795117538821 167.153524932408 167.780419749979 168.386481622243 168.805149682653 168.817746540529 169.230579555689 169.463882246004 170.282260532226 170.983818661352 171.204600737531 171.427290493585 171.741653689868 172.367197476119 173.266133960368 173.630108655916 174.999949599134 175.094572685125 175.165128299147 175.395373985107 175.458373775582 176.006901282766 176.290969491719 176.871893392618 177.393552183361 177.948704011529 177.970936233462 178.65929233396 180.916440395494 181.602742641123 181.85437720102 182.221374026749 182.383926998485 183.858539093735 183.95752995015 184.255342324723 184.321850724377 184.693950732805 187.383527077137 188.829721604333 189.025739447928 190.09232287358 190.592872832285 191.383935504254 191.770083278164 191.838731496523 191.906904689663 193.544438074217 193.82676275058 194.640957641773 195.052708343293 199.450212181252","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
