run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230512-17:41:54-38580,runattr,,,configname,General,,
General-0-20230512-17:41:54-38580,runattr,,,datetime,20230512-17:41:54,,
General-0-20230512-17:41:54-38580,runattr,,,datetimef,20230512-174154,,
General-0-20230512-17:41:54-38580,runattr,,,experiment,General,,
General-0-20230512-17:41:54-38580,runattr,,,inifile,/home/gasbon/Documents/Famaf/actual/redes/labs/lab3/omnetpp.ini,,
General-0-20230512-17:41:54-38580,runattr,,,iterationvars,,,
General-0-20230512-17:41:54-38580,runattr,,,iterationvarsd,,,
General-0-20230512-17:41:54-38580,runattr,,,iterationvarsf,,,
General-0-20230512-17:41:54-38580,runattr,,,measurement,,,
General-0-20230512-17:41:54-38580,runattr,,,network,Network,,
General-0-20230512-17:41:54-38580,runattr,,,processid,38580,,
General-0-20230512-17:41:54-38580,runattr,,,repetition,0,,
General-0-20230512-17:41:54-38580,runattr,,,replication,#0,,
General-0-20230512-17:41:54-38580,runattr,,,resultdir,results,,
General-0-20230512-17:41:54-38580,runattr,,,runnumber,0,,
General-0-20230512-17:41:54-38580,runattr,,,seedset,0,,
General-0-20230512-17:41:54-38580,config,,,cmdenv-express-mode,true,,
General-0-20230512-17:41:54-38580,config,,,network,Network,,
General-0-20230512-17:41:54-38580,config,,,sim-time-limit,200s,,
General-0-20230512-17:41:54-38580,config,,,Network.nodeTx.gen.generationInterval,exponential(0.15),,
General-0-20230512-17:41:54-38580,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230512-17:41:54-38580,config,,,Network.queue.bufferSize,200,,
General-0-20230512-17:41:54-38580,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230512-17:41:54-38580,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230512-17:41:54-38580,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
General-0-20230512-17:41:54-38580,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20230512-17:41:54-38580,config,,,Network.queue.serviceTime,exponential(0.001),,
