run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230512-15:04:36-17079,runattr,,,configname,General,,
General-0-20230512-15:04:36-17079,runattr,,,datetime,20230512-15:04:36,,
General-0-20230512-15:04:36-17079,runattr,,,datetimef,20230512-150436,,
General-0-20230512-15:04:36-17079,runattr,,,experiment,General,,
General-0-20230512-15:04:36-17079,runattr,,,inifile,/home/gasbon/Documents/Famaf/actual/redes/labs/lab3/omnetpp.ini,,
General-0-20230512-15:04:36-17079,runattr,,,iterationvars,,,
General-0-20230512-15:04:36-17079,runattr,,,iterationvarsd,,,
General-0-20230512-15:04:36-17079,runattr,,,iterationvarsf,,,
General-0-20230512-15:04:36-17079,runattr,,,measurement,,,
General-0-20230512-15:04:36-17079,runattr,,,network,Network,,
General-0-20230512-15:04:36-17079,runattr,,,processid,17079,,
General-0-20230512-15:04:36-17079,runattr,,,repetition,0,,
General-0-20230512-15:04:36-17079,runattr,,,replication,#0,,
General-0-20230512-15:04:36-17079,runattr,,,resultdir,results,,
General-0-20230512-15:04:36-17079,runattr,,,runnumber,0,,
General-0-20230512-15:04:36-17079,runattr,,,seedset,0,,
General-0-20230512-15:04:36-17079,config,,,cmdenv-express-mode,true,,
General-0-20230512-15:04:36-17079,config,,,network,Network,,
General-0-20230512-15:04:36-17079,config,,,sim-time-limit,200s,,
General-0-20230512-15:04:36-17079,config,,,Network.nodeTx.gen.generationInterval,exponential(0.24),,
General-0-20230512-15:04:36-17079,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230512-15:04:36-17079,config,,,Network.queue.bufferSize,200,,
General-0-20230512-15:04:36-17079,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230512-15:04:36-17079,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230512-15:04:36-17079,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17079,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17079,config,,,Network.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17079,vector,Network.nodeTx.gen,packetGen,,,"0.191009881096 0.406664374332 0.708087756263 1.154392767161 1.375966318714 1.844337199326 2.033265472922 2.484216845931 2.616468482732 2.850950025066 3.100108257225 3.216539016518 3.35466362377 3.439421817163 3.973067678452 3.987079999034 4.782658946217 4.859064420019 4.975128925207 5.130996048787 5.507531117017 5.908861805095 6.08950359229 6.246435408423 6.447899293119 6.567628575283 7.191209555887 7.625218179313 7.642902664625 7.741681383723 7.763560029993 8.014267031987 8.019169173203 8.129388726144 8.558385765369 9.314426548251 9.675814770324 9.712110175204 10.20178559711 10.691599728929 11.614452977523 11.768463178966 12.153720672661 12.541081170635 12.689624240945 12.866015702031 13.229984335789 13.502609681799 13.532819540064 13.838874188598 14.084017838442 14.293374925252 14.330510048572 14.515510366604 15.210171281321 15.551298804543 15.728377354564 15.755244433116 15.883780205971 16.037786934458 16.111534218975 16.161023006662 16.518204164842 16.838673809152 16.984853590716 17.043425228493 17.24510555784 17.27997228439 17.284524740998 17.37854973556 17.609281160936 17.648193918403 17.875473120925 17.935819184623 18.166110699191 18.283364391025 18.974063996132 19.533003205943 19.807836555071 19.951295613507 20.058220052319 20.286098752358 20.423986529976 20.982310784783 21.269376656653 21.294471350839 21.309379020551 22.14943030482 22.413169297032 22.667289488589 22.933832875554 22.978815131398 23.035504740858 23.141921707727 23.17504859295 23.5084188385 23.599369709928 23.824024484273 23.932528978727 24.02687599248 24.229538662927 24.238942620466 24.37750045506 24.6189094963 25.687988739382 26.454295933475 26.480128359432 26.734006698637 26.790239063143 27.032163682044 27.074382932946 28.360807017004 28.614905268627 28.824165073497 28.894264401481 29.022679923981 29.173385903419 29.327893343804 29.395159825839 29.629607203616 29.671157793091 29.770158088272 29.798227386622 30.06778777899 30.324125106306 30.415698508716 30.451389453337 30.812981933322 30.865513276484 31.582438850528 31.692842200386 31.953546851797 32.366426449649 32.369705948472 32.394220720038 32.628245184236 33.065001724864 33.333757172645 33.358005518719 34.215666728082 35.115434278382 35.620711390572 35.772472173707 35.943492236107 36.846354784388 36.86011324673 37.082948085986 37.22693533878 37.549554204097 37.554399834852 37.563994146626 37.703884959954 37.783663417785 38.717640247268 38.748373870943 38.855274541804 38.939556803256 39.096911911503 39.127245184245 39.407294830617 39.499143058344 40.008959985624 40.137332235806 40.738271063746 40.754182440102 40.812837347642 41.095842834138 41.295725277994 41.496388685667 41.977166411069 42.051185972692 42.221885477624 42.399667625731 42.996207391405 43.019883465425 43.629556547335 43.835451501193 43.856276416954 44.492097839836 44.570179539563 44.662233990947 44.664490171106 44.928693189528 45.372051825768 45.405971197023 45.655998554026 45.958382668452 46.400290461609 46.482287461695 46.556091715398 46.604655820654 46.726383850236 46.938334820306 47.131486196258 47.136361186369 47.179621726845 47.603399584224 47.714214999275 47.715344568993 47.753346530488 48.025178724561 48.227518652277 48.303051850882 48.595013927707 48.913915817407 48.995599034583 49.781633397235 49.91793039407 49.986575427472 50.325221285703 50.531235597982 50.652278111563 50.867459920552 51.410755978759 51.614568973534 51.859047068739 51.919627867033 52.452789522667 53.185337120319 53.458843031567 53.601072798156 53.744203852795 54.193834223961 55.116155803939 55.404693060078 55.434339455445 55.519064287431 55.868700741486 56.272122070577 56.399495469765 56.520699969226 56.790767653268 57.301847508324 57.370826022581 57.579754620899 57.669931943077 58.182291251073 58.989740159805 59.27279206388 59.485878802385 59.795937026897 60.05461739909 60.221609269706 60.404457534817 61.154569940655 61.217463678657 61.465334961212 61.585889552795 61.718224590427 61.949693446146 62.173470137444 62.328055267441 62.332706414965 62.485137066716 62.571279598525 62.873450042668 63.132486890345 63.214006426165 63.296230336093 63.412302900874 63.643272914259 63.975187923828 64.109578580646 64.615366005834 64.650303760661 64.6763550643 64.761368856039 64.784630317137 64.987163550559 65.092050273865 65.306545252658 65.49915772924 65.704136865794 65.7123456862 65.966507938691 66.799916453719 67.053320359797 67.146231581913 67.281738102182 67.341757660977 67.886229819223 67.922780289284 68.032741781434 68.057298728999 68.194689501342 69.187763843864 69.721743361598 69.794119180772 70.187934599474 70.372753045765 70.664837724646 70.807415364244 70.832762398715 70.857934039259 71.462561750479 71.566804707906 71.867430513885 72.019461542138 73.643155266923 74.084691135342 74.123539956153 74.687582505693 75.173800621798 75.18298852089 75.225546658925 75.395926961459 75.6253589032 75.669168167652 75.70089225796 76.063249887306 76.515392820087 76.995869579013 77.391082163331 77.518282854084 77.7203342849 77.756524127347 77.882012934568 77.8901217631 77.907323855335 78.879287096648 79.166192352556 79.278337768494 79.423369545737 79.554135256492 79.861415465407 79.873874477931 80.35693993462 80.46611877737 81.356509319427 81.360533583265 81.825312120263 81.888271154463 81.891099130123 82.2385697098 82.345670386725 83.03797720723 83.352208814595 83.68491873908 83.730109533133 83.829616543371 84.006288007368 84.167678531408 84.181087344101 84.280442285542 84.333995695486 84.381474777276 84.385961690177 84.430966238466 84.809785291771 84.959208654326 85.02005002356 85.518297478066 85.619975182392 86.31226581161 86.943998338622 87.168911630876 87.461422863678 87.679334230236 87.687099863351 88.054499357655 88.097689119627 88.264057064316 88.497212782259 88.50961667965 88.716238352453 89.004471370023 89.069671706905 90.240663600023 90.893787181442 90.968419454635 91.196858584445 91.469641743307 91.653740860404 92.133062132602 92.34699299106 92.680515486366 92.994863975493 93.795968215618 93.885700974635 94.079616187451 94.201503816896 94.258804506379 94.315330403999 94.375714071146 94.425161762782 94.484407987294 95.17778612935 95.380101035449 95.702984419425 95.847387376191 96.009206072904 96.852680956233 96.914604019579 97.188477116265 97.258918952727 97.280315982326 97.294663413426 97.308600780334 97.445376196008 97.605963489694 97.695644240349 98.206525063037 98.492571007914 99.391777715232 99.505637624912 99.736383122089 99.783895378569 99.971569551579 99.977566756374 100.440373189225 100.457081430283 100.783945044116 101.056954285446 101.213249661106 101.358349153506 101.629634484525 101.814223236788 102.038397716613 102.583159320401 102.884168105223 103.997684711553 104.149827916208 104.208505761498 104.354625660795 104.615722724862 105.184263085863 105.257608262298 105.293031310192 105.298039442658 105.360523781429 105.701415810769 106.213470999763 106.306036046334 106.869518549077 106.985591762075 107.234675780192 107.447676243028 107.541893769793 107.968648170633 108.144656412193 108.382617442488 108.382630726943 108.877227824754 108.96693101527 109.043628932439 109.176629931411 109.560562597453 110.080345880863 110.12962934536 110.403003181521 111.135767502223 111.281938209273 111.561085397295 111.719606136435 111.777858574916 112.15097767999 112.857652946572 112.920206577622 113.235208495934 113.74466769288 113.814976042917 113.905319087282 113.962900731947 114.720603661887 114.895858301544 115.049023566886 115.055263025732 115.35366721244 115.409473216852 115.449523130748 115.582204339704 115.896837708062 116.009320062296 116.258729415076 116.40820844942 116.466269164165 116.544321008479 116.593846926944 116.805955484392 117.201493765951 117.680063174257 118.009986363169 118.039994184751 118.309624704643 118.484470426899 118.562278214136 118.596272302487 118.642415048289 118.945250089926 119.23780993277 119.35883711675 119.508125977329 119.708136755084 120.148599971789 120.197190075077 120.252208713127 120.289762898019 120.333028729918 120.493718471725 120.52572022131 120.631189515028 120.938491359983 121.615443987603 121.622866297578 121.970759443921 122.300601767382 122.632032910342 122.65535315315 123.217071223708 123.275918765942 123.296824825924 123.6288207778 123.82163480084 124.137385102831 124.348156721723 124.359361780198 125.143800916395 125.200118320217 125.283043020307 125.36420015187 125.430326856759 125.701747291764 125.727112213549 125.742739301098 125.746715163759 125.941389009094 126.578003052819 126.58023097867 126.846249319681 127.275846824756 127.64492571623 128.642358779165 128.721777150647 129.013542864253 129.225434195043 129.273540321864 129.28940240443 129.461781559656 129.621335419548 129.8297911951 130.740356903041 131.112119706038 131.614093283468 131.837920128733 131.936975296747 131.996115094078 132.778256128602 132.924003157871 132.987261664951 133.493874970803 134.209603132916 134.372275613409 135.053069259819 135.354806138756 135.740116241892 135.899918438685 136.138829713093 136.43472102422 136.932423775364 137.097888064448 137.181108857357 137.627852451673 138.081476859216 138.133339951199 138.364222813581 138.720441009417 138.723639068176 139.60195682756 139.704325422449 140.180185159554 140.218665342231 140.582521885389 141.544429802559 142.552876064858 142.709067427024 143.045229594295 143.210336029126 143.211309546243 143.456154447352 143.531513942887 143.641863859153 143.768695993945 143.8040300029 143.938191843698 144.352583854836 144.437447032899 144.487975022068 144.611026536299 144.782877412617 144.813736669563 144.874699400367 145.822131384581 145.846843791874 145.971902708934 146.4475563908 146.649669103481 147.515814944677 147.616853336209 148.394444448265 148.76771509475 149.336608114097 149.463798893122 149.820782034164 149.927617875622 150.024861767384 150.147259567508 150.167558645531 150.253789182761 150.379301419638 150.737533139044 150.800958050437 151.426535282994 151.460645405728 151.555085984397 151.568263753809 152.301430100771 152.611785586882 152.61515676878 152.61791514883 152.800896833042 153.15422583096 153.241403963496 153.279547926613 153.794200438096 153.814087383596 153.88333043408 153.905860325428 154.177391229653 154.444964210911 154.844075998273 154.911641763666 155.047456453658 155.178414305202 155.513182887105 155.70878728652 156.13349604409 156.606309859832 156.720664719655 157.0322916722 157.056659852346 157.132298259238 157.203314708818 157.237147001078 157.452266010283 157.465937978075 157.621259907045 157.707410623455 157.868043312732 157.940996486947 158.088221868449 158.234397337727 158.412857303753 158.688795236813 158.828816941861 159.114296042181 159.573858184015 159.653874985225 159.790235901323 159.904936218326 160.325827733132 160.373793062233 160.544674997983 160.917573918471 160.939254857051 160.953301552798 161.212244010838 161.498807219781 161.55434825305 161.91631990864 162.36730833285 162.727887403341 163.002373152282 163.074451171551 163.121602024166 163.233947572942 163.251328159369 163.463910714416 163.466247212658 163.542707336149 164.076967493615 164.188181100225 164.222561825357 164.275234183972 164.637744968266 164.785565596374 165.407753262482 165.418706394361 165.720120830603 166.106141114384 166.268129348061 166.287348273488 166.439491983846 166.615062865238 167.129406793341 167.217355103381 167.378210753759 167.58501095179 167.713507996052 168.482662115159 168.528573166175 168.77751198876 168.93229002664 168.94093070578 169.308334326326 169.443412374762 169.638507981447 169.809720209319 169.851527047809 170.035907849857 170.073176390378 170.347687281367 170.599276666556 170.677317675473 170.863279846554 170.896388622217 170.990962439484 171.110648599373 171.148811483405 171.900690560896 171.942498252876 171.992222696616 172.025483533758 172.58786111698 172.795446263243 172.983807147945 173.007038541299 173.153554424098 173.73291836742 174.24589957312 174.266687651787 174.413952662125 174.800672341914 175.109783215932 175.612975921577 175.735184518425 175.758733203856 176.321261917648 176.454620056806 176.735723343593 176.889556994456 177.178208302575 177.386521098259 177.481820526264 177.784134407214 178.123442406303 178.130028510406 178.37261310955 178.68809841309 178.753969658371 179.103544109149 179.145542920721 179.147898385457 179.529871854927 179.618331760434 180.385912954859 180.449535299197 180.596594205964 180.764600358632 180.979160695275 181.716698748743 182.184693207586 182.380537662938 182.527191477647 182.551803931968 183.279950149343 183.513232763198 183.719017187825 184.196122656988 184.608699291817 184.649868562386 185.224711711839 186.396751469522 186.802407858664 186.823727630501 186.865405205671 186.889218372027 187.127125453409 187.36809773514 187.490070404113 188.205697521871 188.221241288141 188.883786357505 189.016195224527 189.158534807885 189.230373619665 189.542574602255 189.996349599319 190.321722042643 190.329851287901 190.417860524812 191.184363374256 191.214981031967 191.320359508508 191.461184022111 191.567061176686 191.686391405408 191.690342593564 191.872494139384 191.921658683499 192.369652396342 192.492754874381 192.677185892955 193.31299107589 193.586658006351 193.61184186571 193.837322342317 194.534743047194 194.559624047988 195.048334652933 195.0715045599 195.216808667494 195.23063096753 195.325566711625 195.347288504461 195.410872889494 195.475846743271 195.704596152455 196.143686269861 196.151758410882 196.329099215667 196.332874205373 196.505588980818 196.639990990417 196.891833110239 196.908753577846 197.0975277599 197.16719337953 197.175114335944 197.23510253194 197.443389380713 197.513456437928 197.867317771876 197.901031943945 198.01430428501 198.017210503825 198.179295912666 198.208747514422 199.168162748835 199.399424995944 199.466763218227","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
