run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230512-15:04:36-17099,runattr,,,configname,General,,
General-0-20230512-15:04:36-17099,runattr,,,datetime,20230512-15:04:36,,
General-0-20230512-15:04:36-17099,runattr,,,datetimef,20230512-150436,,
General-0-20230512-15:04:36-17099,runattr,,,experiment,General,,
General-0-20230512-15:04:36-17099,runattr,,,inifile,/home/gasbon/Documents/Famaf/actual/redes/labs/lab3/omnetpp.ini,,
General-0-20230512-15:04:36-17099,runattr,,,iterationvars,,,
General-0-20230512-15:04:36-17099,runattr,,,iterationvarsd,,,
General-0-20230512-15:04:36-17099,runattr,,,iterationvarsf,,,
General-0-20230512-15:04:36-17099,runattr,,,measurement,,,
General-0-20230512-15:04:36-17099,runattr,,,network,Network,,
General-0-20230512-15:04:36-17099,runattr,,,processid,17099,,
General-0-20230512-15:04:36-17099,runattr,,,repetition,0,,
General-0-20230512-15:04:36-17099,runattr,,,replication,#0,,
General-0-20230512-15:04:36-17099,runattr,,,resultdir,results,,
General-0-20230512-15:04:36-17099,runattr,,,runnumber,0,,
General-0-20230512-15:04:36-17099,runattr,,,seedset,0,,
General-0-20230512-15:04:36-17099,config,,,cmdenv-express-mode,true,,
General-0-20230512-15:04:36-17099,config,,,network,Network,,
General-0-20230512-15:04:36-17099,config,,,sim-time-limit,200s,,
General-0-20230512-15:04:36-17099,config,,,Network.nodeTx.gen.generationInterval,exponential(0.28),,
General-0-20230512-15:04:36-17099,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230512-15:04:36-17099,config,,,Network.queue.bufferSize,200,,
General-0-20230512-15:04:36-17099,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230512-15:04:36-17099,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230512-15:04:36-17099,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17099,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17099,config,,,Network.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17099,vector,Network.nodeTx.gen,packetGen,,,"0.222844861278 0.474441770054 0.826102382307 1.346791561688 1.6052940385 2.151726732548 2.372143051743 2.89825298692 3.052546563188 3.326108362578 3.616792966764 3.752628852606 3.913774227733 4.012658786692 4.635245624862 4.651593332208 5.579768770588 5.668908490024 5.80431707941 5.98616205692 6.425452969854 6.893672105945 7.104420857673 7.287507976495 7.522549175307 7.662233337831 8.389744481869 8.896087875866 8.916719775396 9.031961614344 9.057486701659 9.349978203985 9.355697368737 9.484286847168 9.984783392931 10.86683097296 11.288450565378 11.330795204404 11.902083196628 12.473533017083 13.550195140443 13.729873708793 14.17934078477 14.63126136574 14.804561614435 15.010351652368 15.434981725085 15.753044628764 15.788289463407 16.14535322003 16.431354144848 16.67560407946 16.71892839 16.934762094371 17.745199828207 18.143181938633 18.349773580325 18.381118505302 18.531076906966 18.710751423535 18.796789922138 18.854526841107 19.271238192317 19.645119444012 19.815662522503 19.883996099909 20.11928981748 20.159967665122 20.165278864498 20.274974691487 20.544161354425 20.58955957147 20.854718641079 20.92512238206 21.193795815723 21.330591789529 22.136407995487 22.788503740267 23.109142647583 23.276511549092 23.401256727706 23.667115211085 23.827984284973 24.479362582247 24.814272766095 24.843549909312 24.860942190643 25.84100202229 26.148697513204 26.445171070021 26.756138354813 26.808617653298 26.874755531001 26.998908659015 27.037556691775 27.426488644916 27.532597994915 27.794695231651 27.921283808514 28.031355324559 28.267795106747 28.278766390543 28.440417197569 28.722061079016 29.969320195945 30.86334525572 30.893483086004 31.189674481743 31.255278907 31.537524295718 31.586780088437 33.087608186505 33.384056146731 33.628192585746 33.709975135061 33.859793244644 34.035616887322 34.215875567771 34.294353130145 34.567875070885 34.616350758606 34.731851102984 34.764598617726 35.079085742155 35.378145957357 35.484981593502 35.526621028893 35.948478922209 36.009765489231 36.84617865895 36.974982567117 37.279137993763 37.760830857924 37.764656939885 37.793257506712 38.066286048276 38.575835345676 38.889383368087 38.917673105174 39.91827784943 40.968006658114 41.557496622336 41.734550869327 41.93407427546 42.987413915121 43.00346545452 43.263439433652 43.431424561911 43.807813238114 43.813466473995 43.824659837731 43.987865786614 44.080940654084 45.170580288481 45.206436182768 45.331153632106 45.429482937133 45.613063896755 45.648452714954 45.975177302388 46.082333568069 46.677119983229 46.826887608441 47.527982907705 47.54654618012 47.614976905583 47.945149973161 48.17834615766 48.412453466612 48.973360812914 49.059716968141 49.258866390562 49.466278896687 50.162241956641 50.189864042998 50.901149305226 51.141360084727 51.165655819782 51.907447479811 51.998542796159 52.105939656107 52.108571866293 52.416808721118 52.934060463399 52.973633063196 53.265331646366 53.618113113197 54.133672205213 54.22933537198 54.315440334633 54.372098457432 54.514114491944 54.761390623693 54.986733895637 54.9924213841 55.042892014656 55.537299514932 55.666584165824 55.667901997162 55.712237618907 56.029375178659 56.265438427661 56.3535604927 56.694182915662 57.066235120312 57.161532207018 58.078572296778 58.237585459752 58.317671332054 58.712758166656 58.953108197648 59.094324463493 59.345369907313 59.979215308554 60.216997135792 60.502221580197 60.572899178207 61.19492110978 62.049559973708 62.368650203497 62.534584931184 62.701571161596 63.226139927956 64.302181771264 64.638808570093 64.673396031354 64.772241668671 65.180150865069 65.650809082342 65.799411381395 65.940816630766 66.255895595482 66.852155426381 66.932630359681 67.176380391052 67.281587266926 67.879339792921 68.821363519775 69.151590741195 69.400191936117 69.761926531381 70.063720298939 70.258544147991 70.471867123954 71.346998264098 71.420374291767 71.709557454748 71.850204478261 72.004595355499 72.274642353837 72.535715160351 72.716064478681 72.721490817458 72.899326577835 72.999826198279 73.352358383113 73.654568038737 73.74967416386 73.845602058775 73.98102005102 74.250485066636 74.637719244466 74.794508344087 75.384593673473 75.425354387438 75.455747575017 75.554930332046 75.582068703328 75.818357475653 75.94072531951 76.190969461436 76.415684017448 76.654826343428 76.664403300568 76.960925928475 77.933235862674 78.228873753099 78.337270178901 78.495361119215 78.565383937809 79.200601455763 79.243243670834 79.371532078342 79.400181850501 79.560471084901 80.719057817844 81.342033921867 81.42647237757 81.88592369939 82.101545220063 82.442310678757 82.608651258288 82.638222798504 82.667589712472 83.372988708895 83.494605492559 83.845335599534 84.022705132496 85.917014478078 86.4321396579 86.477463282179 87.135512923309 87.702767392098 87.713486607706 87.763137768747 87.96191478837 88.229585387068 88.280696195595 88.317707634287 88.740458201858 89.267958290102 89.828514508849 90.289595857221 90.437996663099 90.673723332384 90.715944815238 90.862348423663 90.871808723618 90.891877831226 92.025834946091 92.36055774465 92.491394063245 92.660597803362 92.813157799243 93.17165137631 93.186186890921 93.749763257059 93.877138573601 94.915927539334 94.920622513812 95.46286414031 95.536316346877 95.539615651814 95.944997994771 96.069948784516 96.877640075105 97.244243617031 97.632405195597 97.685127788658 97.801219300603 98.007336008599 98.195624953312 98.211268568121 98.327182666469 98.389661644737 98.445053906826 98.450288638544 98.502793944881 98.944749507071 99.119076763385 99.190058360825 99.771347057749 99.889971046129 100.697643446883 101.434664728397 101.69706356936 102.038326674296 102.292556601947 102.301616507248 102.730249250603 102.780637306238 102.974733241709 103.246748245976 103.261219459599 103.50227807787 103.838549931702 103.914616991398 105.280774200036 106.042751711692 106.129822697084 106.396335015196 106.714582033868 106.929364337148 107.488572488045 107.73815848958 108.127268067437 108.494007971418 109.428629584897 109.53331780375 109.759552218702 109.901754453054 109.968605257451 110.034552138008 110.10499974968 110.162688723255 110.231809318519 111.040750484251 111.276784541367 111.653481822672 111.821951938899 112.010740418397 112.994794448947 113.06703802285 113.386556635651 113.46873877819 113.493701979389 113.510440649005 113.526700910397 113.686272228683 113.873624071316 113.978251613746 114.574279240215 114.907999509238 115.957074001109 116.089910562402 116.359113642442 116.414544608336 116.633497810181 116.640494549109 117.180435387435 117.199928335336 117.581269218142 117.899779999693 118.08212460463 118.251407345764 118.567906898619 118.783260442926 119.044797336055 119.680352540475 120.0315294561 121.330632163485 121.508132568915 121.576590055087 121.747063270933 122.051676512345 122.714973600179 122.800542972687 122.841869861897 122.847712683108 122.920611078341 123.318318445905 123.915716166398 124.023708720731 124.681104973931 124.816523722428 125.107121743565 125.35562228354 125.465542731433 125.963422865747 126.168765814234 126.446387016245 126.446402514776 127.023432462223 127.128086184492 127.217567087856 127.372734919989 127.820656363704 128.427070194349 128.484567569595 128.803503711783 129.658395419269 129.828927910827 130.154599630186 130.339540492516 130.407501670744 130.84280729333 131.667261771009 131.740241007234 132.107743245264 132.702112308368 132.784138716744 132.88953893517 132.956717520612 133.840704272208 134.045168018475 134.223860828041 134.231140196695 134.579278414521 134.644385419669 134.691110319214 134.845905062997 135.212977326082 135.344206739356 135.635184317599 135.809576524333 135.877314024869 135.968374509902 136.026154748111 136.2736147318 136.735076060285 137.293407036643 137.678317423708 137.713326548887 138.02789548876 138.231882164726 138.322657916502 138.362317686245 138.416150889681 138.769458438257 139.110778254908 139.251976636218 139.426146973561 139.659492880942 140.173366633765 140.2300550876 140.294243498658 140.338056714366 140.388533518248 140.576004883689 140.613340258205 140.736387767543 141.094906586657 141.884684652213 141.89334401385 142.29921935125 142.684035395288 143.070705062075 143.097912012018 143.753249761002 143.821905226942 143.846295630254 144.233624240776 144.458573934323 144.826949286646 145.072849508687 145.085922076907 146.001101069137 146.066804706929 146.163550190367 146.258233510523 146.335381332894 146.652038507067 146.681630915816 146.699862517956 146.704501024394 146.931620510618 147.674336894964 147.67693614179 147.98729087297 148.488487962225 148.919080002278 150.082751909036 150.175406675765 150.515800008305 150.763006560893 150.819130375517 150.837636138511 151.038745152941 151.224891322815 151.468089727625 152.53041638689 152.964139657053 153.549775497388 153.810906816863 153.926471179547 153.995467609767 154.907965483379 155.078003684192 155.151805275786 155.742854132613 156.577870321745 156.76765488232 157.561914136465 157.913940495225 158.363468948884 158.549904845142 158.828634665285 159.173841194934 159.754494404602 159.947536075199 160.04462700026 160.565827860295 161.095056335762 161.155563276408 161.424926615853 161.840514510995 161.844245579547 162.868949632161 162.988379659531 163.54354935282 163.588442899276 164.012942199627 165.135168102992 166.311688742341 166.493911998202 166.886101193351 167.07872536732 167.07986113729 167.365513521917 167.453432933375 167.582174502352 167.730145326277 167.771368336725 167.927890484322 168.41134783065 168.510354871724 168.569304192421 168.712864292357 168.913356981395 168.949359447832 169.02048263377 170.125819948687 170.154651090528 170.300553160432 170.855482455942 171.091280620736 172.101784102131 172.219662225585 173.126851856317 173.562334277216 174.226042799788 174.374432041984 174.790912373199 174.915554188233 175.029005395289 175.171802828767 175.19548508646 175.296087379895 175.442518322919 175.860455328893 175.934451058851 176.664291163501 176.704086306691 176.814266981805 176.829641046119 177.685001784241 178.047083184704 178.051016230252 178.05423434031 178.26771297189 178.679930136128 178.781637957421 178.826139247725 179.426567177789 179.449768614206 179.530552173103 179.556837046342 179.873623101271 180.185791579405 180.651421997994 180.730248724286 180.888699195944 181.041483356079 181.432046701633 181.660251834284 182.155745384783 182.707361503149 182.840775506276 183.204340284245 183.232769827749 183.321014635789 183.403867160298 183.443338167934 183.69431034534 183.710260974431 183.891469891563 183.991979060708 184.179383864864 184.264495901448 184.436258846534 184.606796894025 184.815000187722 185.136927776292 185.300286432182 185.633345382556 186.169501214696 186.262854149441 186.421941884889 186.555758921392 187.046799021999 187.102758572617 187.302120830992 187.737169571561 187.762463999904 187.778851811609 188.080951345989 188.415275089756 188.480072961903 188.902373226759 189.428526388338 189.849201970577 190.169435344341 190.253526366821 190.308535694872 190.439605501778 190.45988285261 190.707895833498 190.710621748113 190.799825225519 191.423128742563 191.552877950274 191.592988796261 191.654439881311 192.077369129654 192.249826529114 192.975712139573 192.988490793432 193.340140969047 193.790497966791 193.979484239414 194.001906319078 194.179407314496 194.384240009453 194.984307925573 195.086914287286 195.274579212727 195.51584611043 195.665759328736 196.563105801027 196.616668693879 196.907097320228 197.087671697754 197.097752490084 197.526390047388 197.683981103897 197.911592645029 198.111340244213 198.160114889118 198.375225824841 198.418705788782 198.738968494935 199.032489444323 199.12353728806 199.340493154321 199.379120059261 199.489456179406 199.62909003261 199.673613397314","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
